Rank,Title,Comment,Score,Url
90,幽灵公主/もののけ姫/魔法公主  /  幽灵少女,人与自然的战争史诗。,8.9,https://movie.douban.com/subject/1297359/
91,加勒比海盗/Pirates of the Caribbean: The Curse of the Black Pearl/加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),约翰尼·德普的独角戏。,8.7,https://movie.douban.com/subject/1298070/
92,致命ID/Identity/杀人游戏  /  致命身份,最不可能的那个人永远是最可能的。,8.7,https://movie.douban.com/subject/1297192/
93,阳光灿烂的日子/In the Heat of the Sun,一场华丽的意淫。,8.8,https://movie.douban.com/subject/1291875/
94,"摩登时代/Modern Times/The Masses  /  Temps modernes, Les",大时代中的人生，小人物的悲喜。,9.2,https://movie.douban.com/subject/1294371/
95,断背山/Brokeback Mountain/断臂山  /  BBM,每个人心中都有一座断背山。,8.7,https://movie.douban.com/subject/1418834/
96,第六感/The Sixth Sense/灵异第六感  /  鬼眼,深入内心的恐怖，出人意料的结局。,8.8,https://movie.douban.com/subject/1297630/
97,重庆森林/重慶森林/Chungking Express,寂寞没有期限。,8.7,https://movie.douban.com/subject/1291999/
98,狩猎/Jagten/谎言的烙印(台)  /  诬网(港),人言可畏。,9.1,https://movie.douban.com/subject/6985810/
99,玛丽和马克思/Mary and Max/巧克力情缘(台)  /  同是天涯寂寞客,你是我最好的朋友，你是我唯一的朋友 。,8.9,https://movie.douban.com/subject/3072124/
100,喜剧之王/喜劇之王/King of Comedy,我是一个演员。,8.7,https://movie.douban.com/subject/1302425/
101,告白/自白  /  母亲,没有一人完全善，也没有一人完全恶。,8.7,https://movie.douban.com/subject/4268598/
102,消失的爱人/Gone Girl/失踪的女孩  /  失踪女孩,年度最佳date movie。,8.7,https://movie.douban.com/subject/21318488/
103,大鱼/Big Fish/大鱼奇缘(港)  /  大智若鱼(台),抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,8.8,https://movie.douban.com/subject/1291545/
104,一一/Yi yi  /  Yi yi: A One and a Two,我们都曾经是一一。,9.0,https://movie.douban.com/subject/1292434/
105,小森林 夏秋篇/リトル・フォレスト 夏・秋/小森食光 / 夏秋篇(台),那些静得只能听见呼吸的日子里，你明白孤独即生活。,9.0,https://movie.douban.com/subject/25814705/
106,阳光姐妹淘/써니/阳光姊妹淘(港)  /  桑尼,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,8.8,https://movie.douban.com/subject/4917726/
107,爱在黎明破晓前/Before Sunrise/情留半天(港)  /  爱在黎明破晓时(台),缘分是个连绵词，最美不过一瞬。,8.8,https://movie.douban.com/subject/1296339/
108,射雕英雄传之东成西就/射鵰英雄傳之東成西就/东成西就  /  大英雄 (日本),百看不厌。 ,8.7,https://movie.douban.com/subject/1316510/
109,甜蜜蜜/Comrades: Almost a Love Story,相逢只要一瞬间，等待却像是一辈子。,8.8,https://movie.douban.com/subject/1305164/
110,请以你的名字呼唤我/Call Me by Your Name/以你的名字呼唤我(港 / 台),沉醉在电影的情感和视听氛围中无法自拔。,8.8,https://movie.douban.com/subject/26799731/
111,侧耳倾听/耳をすませば/心之谷  /  梦幻街少女,少女情怀总是诗。,8.9,https://movie.douban.com/subject/1297052/
112,驯龙高手/How to Train Your Dragon/驯龙记(港),和谐的生活离不开摸头与被摸头。,8.7,https://movie.douban.com/subject/2353023/
113,红辣椒/パプリカ/盗梦侦探  /  帕布莉卡,梦的勾结。,8.9,https://movie.douban.com/subject/1865703/
114,倩女幽魂/倩女幽魂(87版)  /  倩女幽魂：妖魔道,两张绝世的脸。 ,8.7,https://movie.douban.com/subject/1297447/
115,超脱/Detachment/人间师格(台),穷尽一生，我们要学会的，不过是彼此拥抱。,8.8,https://movie.douban.com/subject/5322596/
116,恐怖直播/더 테러 라이브/死亡“动”新闻(港)  /  恐怖攻击直播(台),恐怖分子的“秋菊打官司”。,8.7,https://movie.douban.com/subject/21360417/
117,风之谷/風の谷のナウシカ/风谷少女  /  Kaze no tani no Naushika,动画片的圣经。,8.8,https://movie.douban.com/subject/1291585/
118,爱在日落黄昏时/Before Sunset/日落巴黎(港)  /  爱在日落巴黎时(台),九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,8.8,https://movie.douban.com/subject/1291990/
119,菊次郎的夏天/菊次郎の夏/Kikujirô no natsu  /  菊次郎的夏天,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,8.8,https://movie.douban.com/subject/1293359/
120,小森林 冬春篇/リトル・フォレスト 冬・春/小森食光 / 冬春篇(台),尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,9.0,https://movie.douban.com/subject/25814707/
121,哈利·波特与死亡圣器(下)/Harry Potter and the Deathly Hallows: Part 2/哈利波特7：死神的圣物2(港 / 台),10年的完美句点。,8.7,https://movie.douban.com/subject/3011235/
122,杀人回忆/살인의 추억/谋杀回忆  /  杀手回忆录,关于连环杀人悬案的集体回忆。,8.7,https://movie.douban.com/subject/1300299/
123,上帝之城/Cidade de Deus/无主之城 (港)  /  无法无天 (台),被上帝抛弃了的上帝之城。,8.9,https://movie.douban.com/subject/1292208/
124,7号房的礼物/7번방의 선물/戆爸的礼物(港)  /  7号囚房的礼物,《我是山姆》的《美丽人生》。,8.8,https://movie.douban.com/subject/10777687/
125,幸福终点站/The Terminal/机场客运站(港)  /  航站情缘(台),有时候幸福需要等一等。 ,8.7,https://movie.douban.com/subject/1292274/
126,蝙蝠侠：黑暗骑士崛起/The Dark Knight Rises/蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台),诺兰就是保证。,8.7,https://movie.douban.com/subject/3395373/
127,借东西的小人阿莉埃蒂/借りぐらしのアリエッティ/借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),曾经的那段美好会沉淀为一辈子的记忆。,8.7,https://movie.douban.com/subject/4202302/
128,萤火之森/蛍火の杜へ/萤火之社  /  Hotarubi no mori e,触不到的恋人。,8.8,https://movie.douban.com/subject/5989818/
129,神偷奶爸/Despicable Me/卑鄙的我  /  坏蛋奖门人(港),Mr. I Don't Care其实也有Care的时候。,8.5,https://movie.douban.com/subject/3287562/
130,唐伯虎点秋香/唐伯虎點秋香/Flirting Scholar,华太师是黄霑，吴镇宇四大才子之一。,8.5,https://movie.douban.com/subject/1306249/
131,超能陆战队/Big Hero 6/大英雄联盟(港)  /  大英雄天团(台),Balalala~~~,8.6,https://movie.douban.com/subject/11026735/
